,summary,config,name
0,{},"{'fed': {'seed': 3, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_FedAdam', 'seed_3'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'eta': 0.01, 'tau': 0.001, 'beta_1': 0.9, 'beta_2': 0.99, '_target_': 'flwr.server.strategy.FedAdam'}, 'name': 'FedAdam'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",b2c7fe18dc9f43c3b47518369196e459
1,"{'_step': 21, 'lambdas': {'2': 0.09385219930124028, '7': 0.09553365780121544, '8': 0.10525824701029989, '0': 0.0919552263170795, '1': 0.08553089276424991, '5': 0.10064447375717686, '6': 0.09375375460008524, '9': 0.1357362462427801, '3': 0.09448408660537316, '4': 0.10325121560049952}, 'test_accuracy': 0.3683, 'max_train_loss': 0.13477931403766755, 'train_accuracy': 0.9138899145190192, 'centralised_loss': 0.2447755827188492, '_runtime': 980.3553152084352, '_timestamp': 1710951949.5695362, 'train_loss': 0.11652045500422788, 'distributed_loss': 0.27873651645912645}","{'fed': {'seed': 5, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_AFL', 'seed_5'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'_target_': 'project.fed.server.strategy.AFL', 'return_lambdas': True, 'lambda_learning_rate': 0.03}, 'name': 'AFL'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",08e9e460f4394e71ba710569363c5e11
2,"{'train_accuracy': 0.9819113470798864, 'centralised_loss': 0.4784979902967811, '_step': 50, '_timestamp': 1710951920.9981165, 'train_loss': 0.022844102856807713, 'distributed_loss': 0.4122085554339675, '_wandb': {'runtime': 2385}, '_runtime': 2378.133156299591, 'test_accuracy': 0.3635}","{'fed': {'seed': 2, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_FedAdam', 'seed_2'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'eta': 0.01, 'tau': 0.001, 'beta_1': 0.9, 'beta_2': 0.99, '_target_': 'flwr.server.strategy.FedAdam'}, 'name': 'FedAdam'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",0e5a0b6a905943c4b2309ef426e168b7
3,"{'train_loss': 0.07383919263877102, 'test_accuracy': 0.5332, 'max_train_loss': 0.17283783505360287, 'train_accuracy': 0.9590210291541704, 'centralised_loss': 0.1594633131057024, '_step': 50, '_wandb': {'runtime': 2277}, 'lambdas': {'0': 0.08103905984242848, '1': 0.1014959691351068, '3': 0.0890000336243675, '4': 0.09224569516550314, '6': 0.08335342658804136, '7': 0.08976335439173036, '9': 0.1573200165833127, '2': 0.09384750084492571, '5': 0.11423131184351634, '8': 0.0977036319810676}, '_runtime': 2273.0870022773743, '_timestamp': 1710950945.5676954, 'distributed_loss': 0.25135488551832835}","{'fed': {'seed': 4, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_AFL', 'seed_4'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'_target_': 'project.fed.server.strategy.AFL', 'return_lambdas': True, 'lambda_learning_rate': 0.03}, 'name': 'AFL'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",4692cc7e0af64f6cac89e428b0d72bc5
4,"{'_wandb': {'runtime': 2439}, '_runtime': 2433.928905248642, 'train_loss': 0.008718798884429132, 'test_accuracy': 0.4053, 'train_accuracy': 0.9907120743034056, '_step': 50, 'centralised_loss': 0.8972242846533656, 'distributed_loss': 0.5444129397473831, '_timestamp': 1710949520.7830234}","{'fed': {'seed': 1, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_FedAdam', 'seed_1'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'eta': 0.01, 'tau': 0.001, 'beta_1': 0.9, 'beta_2': 0.99, '_target_': 'flwr.server.strategy.FedAdam'}, 'name': 'FedAdam'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",b6dda99592d64c06b43fa55f09041144
5,"{'train_accuracy': 0.8654976605139478, 'distributed_loss': 0.17728458589249188, 'lambdas': {'8': 0.092771415231426, '4': 0.0850067968800218, '5': 0.092726382360878, '2': 0.08257273252320724, '3': 0.11929373225851272, '6': 0.10342917186797056, '7': 0.09095756183389518, '9': 0.13569783773969157, '0': 0.09041346806995096, '1': 0.10713090123444612}, '_runtime': 2041.5774199962616, 'train_loss': 0.10380822659954006, 'test_accuracy': 0.5375408245052112, 'centralised_loss': 0.1810851378619671, '_step': 50, '_wandb': {'runtime': 2043}, '_timestamp': 1710948647.028401, 'max_train_loss': 0.307175676425298}","{'fed': {'seed': 3, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_AFL', 'seed_3'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'_target_': 'project.fed.server.strategy.AFL', 'return_lambdas': True, 'lambda_learning_rate': 0.03}, 'name': 'AFL'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",71f11b7f4788491f9c336c643776bb6d
6,"{'test_accuracy': 0.521330755819109, 'centralised_loss': 0.15587749844193458, 'distributed_loss': 0.17293888082441128, '_step': 50, '_wandb': {'runtime': 1442}, 'lambdas': {'0': 0.10310213858410076, '1': 0.0811245085794315, '2': 0.11104049135741922, '5': 0.1024259709408538, '6': 0.07996365544008142, '8': 0.09901453945991946, '9': 0.14522515344144768, '3': 0.08616173906633055, '4': 0.0947531217147546, '7': 0.09718868141566096}, '_runtime': 1440.116693735123, '_timestamp': 1710946589.7166567, 'train_loss': 0.034580711887322965, 'max_train_loss': 0.04759770710432776, 'train_accuracy': 0.9747125780274382}","{'fed': {'seed': 2, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_AFL', 'seed_2'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'_target_': 'project.fed.server.strategy.AFL', 'return_lambdas': True, 'lambda_learning_rate': 0.03}, 'name': 'AFL'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",c31dd53b7c6e4761a466034c88e30300
7,"{'_wandb': {'runtime': 2016}, 'lambdas': {'4': 0.09551997929139856, '7': 0.09001166197714809, '8': 0.09948180336783756, '0': 0.08761120963926229, '2': 0.07739145436934684, '3': 0.09647330117375912, '9': 0.16594417561498248, '1': 0.09020712000633405, '5': 0.10149405216889368, '6': 0.09586524239103746}, '_runtime': 2014.3803136348724, 'train_accuracy': 0.9726197695732964, 'centralised_loss': 0.17896328445672988, '_step': 50, '_timestamp': 1710945134.1694555, 'train_loss': 0.03236394444882793, 'test_accuracy': 0.4088350511793995, 'max_train_loss': 0.05000154514107469, 'distributed_loss': 0.20627665996793548}","{'fed': {'seed': 1, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_AFL', 'seed_1'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'_target_': 'project.fed.server.strategy.AFL', 'return_lambdas': True, 'lambda_learning_rate': 0.03}, 'name': 'AFL'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",eb88dd5599ec4818825aeb1e99fbe152
8,"{'_step': 50, 'train_loss': 0.025487089963418693, 'centralised_loss': 0.15703374265134334, '_wandb': {'runtime': 1927}, '_runtime': 1923.775361776352, '_timestamp': 1710944258.222185, 'test_accuracy': 0.5233644859813084, 'train_accuracy': 0.9798459467544122, 'distributed_loss': 0.165648165653032}","{'fed': {'seed': 4, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_FedAvg', 'seed_4'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'_target_': 'flwr.server.strategy.FedAvg'}, 'name': 'FedAvg'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",560aa492d374403684e421c0fd802f7e
9,"{'_runtime': 1908.780839204788, '_timestamp': 1710942318.9036863, 'test_accuracy': 0.5048397863818425, 'train_accuracy': 0.9740664881046164, 'distributed_loss': 0.17931567269529108, '_step': 50, '_wandb': {'runtime': 1910}, 'train_loss': 0.03176740381302876, 'centralised_loss': 0.17188674814999105}","{'fed': {'seed': 3, 'num_rounds': 50, 'rng_folder': None, 'server_round': None, 'history_folder': None, 'cpus_per_client': 2, 'gpus_per_client': 0, 'load_saved_state': True, 'enable_resampling': False, 'num_total_clients': 10, 'parameters_folder': None, 'num_clients_per_round': 5, 'num_evaluate_clients_per_round': 10}, 'task': {'fit_config': {'extra': {}, 'net_config': {}, 'run_config': {'epochs': 1, 'scheduler': {'_target_': 'project.utils.utils.InverseSqrtScheduler'}, 'learning_rate': 2e-05}, 'dataloader_config': {'batch_size': 4}}, 'eval_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'fit_metrics': ['train_loss', 'train_accuracy'], 'model_and_data': 'MNIST_CNN', 'fed_test_config': {'extra': {}, 'net_config': {}, 'run_config': {}, 'dataloader_config': {'batch_size': 8}}, 'train_structure': 'MNIST', 'evaluate_metrics': ['test_accuracy'], 'net_config_initial_parameters': {}}, 'wandb': {'setup': {'mode': 'online', 'tags': ['strategy_FedAvg', 'seed_3'], 'entity': None, 'project': 'template'}}, 'dataset': {'iid': False, 'seed': 1337, 'balance': False, 'power_law': True, 'val_ratio': 0.1, 'dataset_dir': './data/mnist/data', 'num_clients': 10, 'partition_dir': './data/mnist/partition'}, 'strategy': {'init': {'_target_': 'flwr.server.strategy.FedAvg'}, 'name': 'FedAvg'}, 'wandb_id': None, 'use_wandb': True, 'file_limit': 250, 'to_restore': [], 'ray_address': None, 'working_dir': None, 'to_save_once': ['yaml', 'log', 'wandb'], 'wandb_resume': True, 'debug_clients': {'all': False, 'one': True}, 'to_clean_once': ['history', 'parameters', 'yaml', 'log', 'rng', 'history'], 'save_frequency': 1, 'to_save_per_round': ['parameters', 'rng', 'history'], 'ray_redis_password': None, 'ray_node_ip_address': None}",51d6e5719efa4be2b8317137d2c9ff51
