"Step","afl_3_schedule_all - train_accuracy","afl_3_schedule_all - train_accuracy__MIN","afl_3_schedule_all - train_accuracy__MAX","afl_2_schedule_all - train_accuracy","afl_2_schedule_all - train_accuracy__MIN","afl_2_schedule_all - train_accuracy__MAX","afl_1_schedule_all - train_accuracy","afl_1_schedule_all - train_accuracy__MIN","afl_1_schedule_all - train_accuracy__MAX"
"1","0.7060169814562534","0.7060169814562534","0.7060169814562534","0.6755741828031167","0.6755741828031167","0.6755741828031167","0.6817856210595091","0.6817856210595091","0.6817856210595091"
"2","0.7458653826631578","0.7458653826631578","0.7458653826631578","0.7011545053349869","0.7011545053349869","0.7011545053349869","0.7161192121720041","0.7161192121720041","0.7161192121720041"
"3","0.7723125845037551","0.7723125845037551","0.7723125845037551","0.7225232655981023","0.7225232655981023","0.7225232655981023","0.7435974632639166","0.7435974632639166","0.7435974632639166"
"4","0.7817174435342101","0.7817174435342101","0.7817174435342101","0.739206845439484","0.739206845439484","0.739206845439484","0.7608800912469073","0.7608800912469073","0.7608800912469073"
"5","0.7790777592177505","0.7790777592177505","0.7790777592177505","0.7537771327811547","0.7537771327811547","0.7537771327811547","0.7676733891634158","0.7676733891634158","0.7676733891634158"
"6","0.7750482074097782","0.7750482074097782","0.7750482074097782","0.7616288735740003","0.7616288735740003","0.7616288735740003","0.7704139700504876","0.7704139700504876","0.7704139700504876"
"7","0.7738759688186689","0.7738759688186689","0.7738759688186689","0.7646256792447886","0.7646256792447886","0.7646256792447886","0.771294529974028","0.771294529974028","0.771294529974028"
"8","0.7728631489066141","0.7728631489066141","0.7728631489066141","0.7668069565892923","0.7668069565892923","0.7668069565892923","0.7726574386069055","0.7726574386069055","0.7726574386069055"
"9","0.7723618043997938","0.7723618043997938","0.7723618043997938","0.7683588371773548","0.7683588371773548","0.7683588371773548","0.7758231189558678","0.7758231189558678","0.7758231189558678"
"10","0.7715696236714282","0.7715696236714282","0.7715696236714282","0.768788292899197","0.768788292899197","0.768788292899197","0.7903157641059626","0.7903157641059626","0.7903157641059626"
"11","0.7760566392927379","0.7760566392927379","0.7760566392927379","0.7693538974991029","0.7693538974991029","0.7693538974991029","0.8038873164546697","0.8038873164546697","0.8038873164546697"
"12","0.7903487012807833","0.7903487012807833","0.7903487012807833","0.7701807442555874","0.7701807442555874","0.7701807442555874","0.8259320780992265","0.8259320780992265","0.8259320780992265"
"13","0.8072970959921794","0.8072970959921794","0.8072970959921794","0.7714782601201102","0.7714782601201102","0.7714782601201102","0.8440631418613935","0.8440631418613935","0.8440631418613935"
"14","0.8206545071253016","0.8206545071253016","0.8206545071253016","0.7772233513810962","0.7772233513810962","0.7772233513810962","0.860392267667476","0.860392267667476","0.860392267667476"
"15","0.8306174355261606","0.8306174355261606","0.8306174355261606","0.795432422366485","0.795432422366485","0.795432422366485","0.875383826083353","0.875383826083353","0.875383826083353"
"16","0.8455998264135917","0.8455998264135917","0.8455998264135917","0.8137578404196983","0.8137578404196983","0.8137578404196983","0.8856009853285614","0.8856009853285614","0.8856009853285614"
"17","0.8512126851876409","0.8512126851876409","0.8512126851876409","0.8288221511813708","0.8288221511813708","0.8288221511813708","0.8921405387066216","0.8921405387066216","0.8921405387066216"
"18","0.8614660366736835","0.8614660366736835","0.8614660366736835","0.8407505700065447","0.8407505700065447","0.8407505700065447","0.902128128445242","0.902128128445242","0.902128128445242"
"19","0.8784809602927635","0.8784809602927635","0.8784809602927635","0.8557165089029461","0.8557165089029461","0.8557165089029461","0.9076400804481091","0.9076400804481091","0.9076400804481091"
"20","0.8839230990030325","0.8839230990030325","0.8839230990030325","0.8665435240913243","0.8665435240913243","0.8665435240913243","0.9106005128295931","0.9106005128295931","0.9106005128295931"
"21","0.8941694281173528","0.8941694281173528","0.8941694281173528","0.8751905121959046","0.8751905121959046","0.8751905121959046","0.9188413810871536","0.9188413810871536","0.9188413810871536"
"22","0.9016501248696766","0.9016501248696766","0.9016501248696766","0.8863553786018584","0.8863553786018584","0.8863553786018584","0.9206904912981896","0.9206904912981896","0.9206904912981896"
"23","0.9055318103499049","0.9055318103499049","0.9055318103499049","0.893074293753692","0.893074293753692","0.893074293753692","0.9291158907191472","0.9291158907191472","0.9291158907191472"
"24","0.9095954296852837","0.9095954296852837","0.9095954296852837","0.9052939049077113","0.9052939049077113","0.9052939049077113","0.9314031516914832","0.9314031516914832","0.9314031516914832"
"25","0.9138017303459097","0.9138017303459097","0.9138017303459097","0.9099581231372533","0.9099581231372533","0.9099581231372533","0.9336333120725334","0.9336333120725334","0.9336333120725334"
"26","0.9199736875272205","0.9199736875272205","0.9199736875272205","0.9145204549109337","0.9145204549109337","0.9145204549109337","0.9345525188107616","0.9345525188107616","0.9345525188107616"
"27","0.9248970373952121","0.9248970373952121","0.9248970373952121","0.9204330550758288","0.9204330550758288","0.9204330550758288","0.9354869247006055","0.9354869247006055","0.9354869247006055"
"28","0.9263852174769559","0.9263852174769559","0.9263852174769559","0.9248808554058013","0.9248808554058013","0.9248808554058013","0.9385634316605392","0.9385634316605392","0.9385634316605392"
"29","0.9285525564962626","0.9285525564962626","0.9285525564962626","0.928922414040024","0.928922414040024","0.928922414040024","0.9405327517334173","0.9405327517334173","0.9405327517334173"
"30","0.931778057253694","0.931778057253694","0.931778057253694","0.9333512300221855","0.9333512300221855","0.9333512300221855","0.9413578118732303","0.9413578118732303","0.9413578118732303"
"31","0.9337428749056992","0.9337428749056992","0.9337428749056992","0.9352551062159755","0.9352551062159755","0.9352551062159755","0.9446011942904335","0.9446011942904335","0.9446011942904335"
"32","0.9366418007015542","0.9366418007015542","0.9366418007015542","0.9382618899073644","0.9382618899073644","0.9382618899073644","0.9454456602518552","0.9454456602518552","0.9454456602518552"
"33","0.9384581050288091","0.9384581050288091","0.9384581050288091","0.9401679930054321","0.9401679930054321","0.9401679930054321","0.9463102790782548","0.9463102790782548","0.9463102790782548"
"34","0.9393808937458568","0.9393808937458568","0.9393808937458568","0.9409487460010513","0.9409487460010513","0.9409487460010513","0.9486167278179739","0.9486167278179739","0.9486167278179739"
"35","0.9413715578847653","0.9413715578847653","0.9413715578847653","0.9418296766694549","0.9418296766694549","0.9418296766694549","0.9508480261636283","0.9508480261636283","0.9508480261636283"
"36","0.9418563836580788","0.9418563836580788","0.9418563836580788","0.9427020134546866","0.9427020134546866","0.9427020134546866","0.9516864770581214","0.9516864770581214","0.9516864770581214"
"37","0.9425665263750073","0.9425665263750073","0.9425665263750073","0.9448554109642494","0.9448554109642494","0.9448554109642494","0.9526223728950157","0.9526223728950157","0.9526223728950157"
"38","0.9432289397913104","0.9432289397913104","0.9432289397913104","0.945735874535758","0.945735874535758","0.945735874535758","0.9534409134578063","0.9534409134578063","0.9534409134578063"
"39","0.943712740881076","0.943712740881076","0.943712740881076","0.9481143715299677","0.9481143715299677","0.9481143715299677","0.9554819277107007","0.9554819277107007","0.9554819277107007"
"40","0.9447067587058291","0.9447067587058291","0.9447067587058291","0.9488804309186478","0.9488804309186478","0.9488804309186478","0.9575690208556429","0.9575690208556429","0.9575690208556429"
"41","0.9454421190892854","0.9454421190892854","0.9454421190892854","0.9497005022033018","0.9497005022033018","0.9497005022033018","0.9582936226018843","0.9582936226018843","0.9582936226018843"
"42","0.946359266082875","0.946359266082875","0.946359266082875","0.9507258944814778","0.9507258944814778","0.9507258944814778","0.9590533764193446","0.9590533764193446","0.9590533764193446"
"43","0.9471336981043337","0.9471336981043337","0.9471336981043337","0.951707467477262","0.951707467477262","0.951707467477262","0.9599352802496778","0.9599352802496778","0.9599352802496778"
"44","0.9490296516413925","0.9490296516413925","0.9490296516413925","0.952677627918005","0.952677627918005","0.952677627918005","0.9607484003520627","0.9607484003520627","0.9607484003520627"
"45","0.9498316615650695","0.9498316615650695","0.9498316615650695","0.9535356600339093","0.9535356600339093","0.9535356600339093","0.9617792572582592","0.9617792572582592","0.9617792572582592"
