"Step","fedadagrad_5_compare - train_accuracy","fedadagrad_5_compare - train_accuracy__MIN","fedadagrad_5_compare - train_accuracy__MAX","fedadagrad_4_compare - train_accuracy","fedadagrad_4_compare - train_accuracy__MIN","fedadagrad_4_compare - train_accuracy__MAX","fedadagrad_3_compare - train_accuracy","fedadagrad_3_compare - train_accuracy__MIN","fedadagrad_3_compare - train_accuracy__MAX","fedavg_5_compare - train_accuracy","fedavg_5_compare - train_accuracy__MIN","fedavg_5_compare - train_accuracy__MAX","fedadagrad_2_compare - train_accuracy","fedadagrad_2_compare - train_accuracy__MIN","fedadagrad_2_compare - train_accuracy__MAX","fedadam_5_compare - train_accuracy","fedadam_5_compare - train_accuracy__MIN","fedadam_5_compare - train_accuracy__MAX","fedadagrad_1_compare - train_accuracy","fedadagrad_1_compare - train_accuracy__MIN","fedadagrad_1_compare - train_accuracy__MAX","fedadam_4_compare - train_accuracy","fedadam_4_compare - train_accuracy__MIN","fedadam_4_compare - train_accuracy__MAX","fedadam_3_compare - train_accuracy","fedadam_3_compare - train_accuracy__MIN","fedadam_3_compare - train_accuracy__MAX","afl_5_compare - train_accuracy","afl_5_compare - train_accuracy__MIN","afl_5_compare - train_accuracy__MAX"
"1","0.8356771527592642","0.8356771527592642","0.8356771527592642","0.6229279431664412","0.6229279431664412","0.6229279431664412","0.7809914804296827","0.7809914804296827","0.7809914804296827","0.8356771527592642","0.8356771527592642","0.8356771527592642","0.7723707664884135","0.7723707664884135","0.7723707664884135","0.8356771527592642","0.8356771527592642","0.8356771527592642","0.7132910605495462","0.7132910605495462","0.7132910605495462","0.6229279431664412","0.6229279431664412","0.6229279431664412","0.7809914804296827","0.7809914804296827","0.7809914804296827","0.8497041210342025","0.8497041210342025","0.8497041210342025"
"2","0.6734889552679131","0.6734889552679131","0.6734889552679131","0.7653127756683159","0.7653127756683159","0.7653127756683159","0.6169705170203674","0.6169705170203674","0.6169705170203674","0.7406424014455877","0.7406424014455877","0.7406424014455877","0.6741323770740898","0.6741323770740898","0.6741323770740898","0.7450676697274772","0.7450676697274772","0.7450676697274772","0.7366006934412019","0.7366006934412019","0.7366006934412019","0.7021823342154719","0.7021823342154719","0.7021823342154719","0.6420737786640079","0.6420737786640079","0.6420737786640079","0.5796045379241788","0.5796045379241788","0.5796045379241788"
"3","0.43741750575102767","0.43741750575102767","0.43741750575102767","0.6907497276418738","0.6907497276418738","0.6907497276418738","0.4676697457385011","0.4676697457385011","0.4676697457385011","0.6843157219896671","0.6843157219896671","0.6843157219896671","0.28322291853178155","0.28322291853178155","0.28322291853178155","0.6176415129916657","0.6176415129916657","0.6176415129916657","0.16818314282938834","0.16818314282938834","0.16818314282938834","0.8098940279290878","0.8098940279290878","0.8098940279290878","0.7315493762498809","0.7315493762498809","0.7315493762498809","0.7885969026269933","0.7885969026269933","0.7885969026269933"
"4","0.09912670445840356","0.09912670445840356","0.09912670445840356","0.6679542203147353","0.6679542203147353","0.6679542203147353","0.2003657522859518","0.2003657522859518","0.2003657522859518","0.7487360196108472","0.7487360196108472","0.7487360196108472","0.24871431765670418","0.24871431765670418","0.24871431765670418","0.8236938869312088","0.8236938869312088","0.8236938869312088","0","0","0","0.8115164520743919","0.8115164520743919","0.8115164520743919","0.7926184538653367","0.7926184538653367","0.7926184538653367","0.7137238715980045","0.7137238715980045","0.7137238715980045"
"5","0.4131572824569567","0.4131572824569567","0.4131572824569567","0.5736194441043223","0.5736194441043223","0.5736194441043223","0.36770864492970384","0.36770864492970384","0.36770864492970384","0.6840390879478827","0.6840390879478827","0.6840390879478827","0.2989791253999695","0.2989791253999695","0.2989791253999695","0.7070730572359237","0.7070730572359237","0.7070730572359237","0.4192867693606246","0.4192867693606246","0.4192867693606246","0.8358638422921514","0.8358638422921514","0.8358638422921514","0.8724199820520491","0.8724199820520491","0.8724199820520491","0.6746428738497375","0.6746428738497375","0.6746428738497375"
"6","0.09790299755564132","0.09790299755564132","0.09790299755564132","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3682755006986493","0.3682755006986493","0.3682755006986493","0.7292336721128694","0.7292336721128694","0.7292336721128694","0.7613342898134864","0.7613342898134864","0.7613342898134864","0.7900853381362837","0.7900853381362837","0.7900853381362837","0.0664568616291138","0.0664568616291138","0.0664568616291138","0.7954038375725123","0.7954038375725123","0.7954038375725123","0.8677515137401025","0.8677515137401025","0.8677515137401025","0.7286352595169466","0.7286352595169466","0.7286352595169466"
"7","0.341446115943111","0.341446115943111","0.341446115943111","0.3249400479616307","0.3249400479616307","0.3249400479616307","0.4570146250870541","0.4570146250870541","0.4570146250870541","0.8289223188622196","0.8289223188622196","0.8289223188622196","0.6381012836789391","0.6381012836789391","0.6381012836789391","0.8764791518907014","0.8764791518907014","0.8764791518907014","0.4012286689419795","0.4012286689419795","0.4012286689419795","0.9164854163181083","0.9164854163181083","0.9164854163181083","0.8485258840826434","0.8485258840826434","0.8485258840826434","0.5825659276784643","0.5825659276784643","0.5825659276784643"
"8","0.518308260005677","0.518308260005677","0.518308260005677","0.005884516366311144","0.005884516366311144","0.005884516366311144","0.32615796967920263","0.32615796967920263","0.32615796967920263","0.8545746995931498","0.8545746995931498","0.8545746995931498","0.5768770565360455","0.5768770565360455","0.5768770565360455","0.9136152899990538","0.9136152899990538","0.9136152899990538","0.7459627329192546","0.7459627329192546","0.7459627329192546","0.9510440930080504","0.9510440930080504","0.9510440930080504","0.9358405226568389","0.9358405226568389","0.9358405226568389","0.6651287128178706","0.6651287128178706","0.6651287128178706"
"9","0.06862446743761412","0.06862446743761412","0.06862446743761412","0.2084631360332295","0.2084631360332295","0.2084631360332295","0.3009897879025923","0.3009897879025923","0.3009897879025923","0.8321972002434571","0.8321972002434571","0.8321972002434571","0.00022727272727272727","0.00022727272727272727","0.00022727272727272727","0.9211503347534997","0.9211503347534997","0.9211503347534997","0.6012989493791786","0.6012989493791786","0.6012989493791786","0.9382788161993769","0.9382788161993769","0.9382788161993769","0.9326001571091909","0.9326001571091909","0.9326001571091909","0.8330443945452957","0.8330443945452957","0.8330443945452957"
"10","0.37553758137699744","0.37553758137699744","0.37553758137699744","0.36818138696518354","0.36818138696518354","0.36818138696518354","0.08889948420094491","0.08889948420094491","0.08889948420094491","0.8579996054448609","0.8579996054448609","0.8579996054448609","0.18966603654694397","0.18966603654694397","0.18966603654694397","0.8984415072006313","0.8984415072006313","0.8984415072006313","0.5601692885091432","0.5601692885091432","0.5601692885091432","0.9559814059387155","0.9559814059387155","0.9559814059387155","0.9286116769970959","0.9286116769970959","0.9286116769970959","0.6533885680131377","0.6533885680131377","0.6533885680131377"
